label	k	p_escape	guides
repeat_model=single	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
repeat_model=single	3	1.0745863052250799e-07	RL2_5080+;UL19_36407+;UL19_37448-
repeat_model=single	4	5.10883333964119e-10	RL2_5080+;UL19_36407+;UL19_37448-;UL19_37908+
repeat_model=single	5	2.4288582466870815e-12	RL2_5080+;UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
repeat_model=single	6	1.1547357273772752e-14	RL2_5080+;UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
repeat_model=all-copies	1	2.260272846282358e-05	RL2_5080+
repeat_model=all-copies	2	5.108833339803956e-10	RL2_3364+;RL2_5080+
repeat_model=all-copies	3	1.1547357274508436e-14	RL2_3364+;RL2_5080+;RL2_5335+
repeat_model=all-copies	4	5.489882342805433e-17	RL2_3364+;RL2_5080+;RL2_5335+;UL19_36407+
repeat_model=all-copies	5	2.610017809389193e-19	RL2_3364+;RL2_5080+;RL2_5335+;UL19_36407+;UL19_37448-
repeat_model=all-copies	6	1.2408631988727835e-21	RL2_3364+;RL2_5080+;RL2_5335+;UL19_36407+;UL19_37448-;UL19_37908+
RL2_frameshift_viability=0	1	0.00475423268917531	UL19_36407+
RL2_frameshift_viability=0	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
RL2_frameshift_viability=0	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
RL2_frameshift_viability=0	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
RL2_frameshift_viability=0	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
RL2_frameshift_viability=0	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
RL2_frameshift_viability=0.05	1	0.00475423268917531	UL19_36407+
RL2_frameshift_viability=0.05	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
RL2_frameshift_viability=0.05	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
RL2_frameshift_viability=0.05	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
RL2_frameshift_viability=0.05	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
RL2_frameshift_viability=0.05	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
RL2_frameshift_viability=0.25	1	0.00475423268917531	UL19_36407+
RL2_frameshift_viability=0.25	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
RL2_frameshift_viability=0.25	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
RL2_frameshift_viability=0.25	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
RL2_frameshift_viability=0.25	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
RL2_frameshift_viability=0.25	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
RL2_frameshift_viability=1	1	0.00475423268917531	UL19_36407+
RL2_frameshift_viability=1	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
RL2_frameshift_viability=1	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
RL2_frameshift_viability=1	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
RL2_frameshift_viability=1	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
RL2_frameshift_viability=1	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
p_disrupt=0.8	1	0.0038033861513402487	UL19_36407+
p_disrupt=0.8	2	1.4465746216206785e-05	UL19_36407+;UL19_37448-
