group	label	inframe_fraction	median_q_site	spearman_q_vs_baseline	top20_site_overlap_vs_baseline	p_escape_best_k1	p_escape_best_k2	p_escape_best_k3	p_escape_best_k4	p_escape_best_k5	p_escape_best_k6	min_k_below_0.001	min_k_below_1e-06	p_escape_amrani_pair	p_escape_baseline_best_k1	p_escape_baseline_best_k2	p_escape_baseline_best_k3	p_escape_baseline_best_k4	p_escape_baseline_best_k5	p_escape_baseline_best_k6	p_escape_baseline_best_k7	p_escape_baseline_best_k8	best_set_k1_matches_baseline	best_set_k2_matches_baseline	best_set_k3_matches_baseline	best_set_k4_matches_baseline	best_set_k5_matches_baseline	best_set_k6_matches_baseline
min_variant_strains	min_variant_strains=3	0.19857139042438315	0.00475423268917531	0.6383292860757039	0.6	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	False	False
min_variant_strains	min_variant_strains=5	0.19857139042438315	0.00475423268917531	0.551552917550222	0.45	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815387	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	False	False
indel_spectrum	spectrum=default	0.19857139042438315	0.004754232809534393	1.0	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
indel_spectrum	spectrum=deletion-heavy	0.26763942229826154	0.0034893637026778765	0.9976260132952021	0.95	0.0034893632959552908	1.2175656211159968e-05	4.248528788739169e-08	1.4824660417235844e-10	5.172862593490399e-13	1.8049996868745497e-15	2	3	0.0007062442899941847	0.0034893632959552908	1.2175656211159971e-05	4.248528788739169e-08	1.4824660417235844e-10	5.172862593490399e-13	1.8049996868745497e-15	6.298299656590848e-18	2.1977055648635917e-20	True	True	True	True	True	True
indel_spectrum	spectrum=insertion-heavy	0.11472523930301826	0.0029034651529956175	0.9999931926388814	1.0	0.0029034650881819978	8.430109518291697e-06	2.4476528675910663e-08	7.106674649039212e-11	2.0633981736553402e-13	5.991004560226772e-16	2	3	0.0005848866010487251	0.0029034650881819978	8.43010951829169e-06	2.4476528675910663e-08	7.106674649039212e-11	2.0633981736553402e-13	5.991004560226772e-16	1.739467258375756e-18	5.050482456729661e-21	True	True	True	True	True	True
indel_spectrum	spectrum=short-indels	0.13970257545372317	0.005640139786468332	0.954337665438471	0.7	0.005640139785436828	3.1811176799267295e-05	1.794194838871128e-07	1.011950969354246e-09	5.707544923166247e-12	3.21913511983179e-14	2	3	0.0011611901685924496	0.005640139785436828	3.181117679926737e-05	1.794194838871128e-07	1.011950969354246e-09	5.707544923166247e-12	3.21913511983179e-14	1.8156372064060232e-16	1.0240447643769985e-18	True	True	True	True	False	False
indel_spectrum	spectrum=uniform-1to20	0.30000000000000004	0.002631580078125001	0.954337665438471	0.7	0.0026315789062500003	6.925207539819939e-06	1.8224230083193626e-08	4.795849946957907e-11	1.26206575579546e-13	3.3212256212517974e-16	2	3	0.0005289862971391645	0.0026315789062500003	6.925207539819946e-06	1.8224230083193626e-08	4.795849946957907e-11	1.26206575579546e-13	3.3212256212517974e-16	8.740067287783285e-19	2.3000176713736142e-21	True	True	True	True	False	False
indel_spectrum	spectrum=neuronal_nhej	0.09034091944388768	0.0018237720172596338	0.9999955853609123	1.0	0.00182377194896739	3.3261441218403144e-06	6.066128347635142e-09	1.1063234719252874e-11	2.0176817145815528e-14	3.679791312998264e-17	2	3	0.00036418944206119885	0.00182377194896739	3.3261441218403144e-06	6.066128347635142e-09	1.1063234719252874e-11	2.0176817145815528e-14	3.679791312998264e-17	6.711100174700117e-20	1.2239516245328226e-22	True	True	True	True	True	True
inframe_fraction	inframe_fraction=0.1	0.10000000000000002	0.0023942184215831564	0.999999494504463	1.0	0.002394218360970656	5.732281560009019e-06	1.3724333761227108e-08	3.285905188321941e-11	7.867174534289134e-14	1.883573371895583e-16	2	3	0.0004803221441214622	0.002394218360970656	5.732281560009015e-06	1.3724333761227108e-08	3.285905188321941e-11	7.867174534289134e-14	1.883573371895583e-16	4.509685951227816e-19	1.0797172906641056e-21	True	True	True	True	True	True
inframe_fraction	inframe_fraction=0.2	0.2	0.004788436843166312	1.0	1.0	0.0047884367219413115	2.292912624003607e-05	1.0979467008981676e-07	5.257448301315102e-10	2.517495850972521e-12	1.2054869580131715e-14	2	3	0.000979246239765259	0.0047884367219413115	2.292912624003606e-05	1.0979467008981676e-07	5.257448301315102e-10	2.517495850972521e-12	1.2054869580131715e-14	5.772398017571596e-17	2.764076264100105e-19	True	True	True	True	True	True
